"Module" "Cluster" "Function" "Genes"
"M16.31" "A6" "TBD" "SLF1, ARHGAP24, BCL2, BTBD15, MCMBP, FAM170B, NCBP3, TMEM222, GGCT, CSDE1, CSTF2T, DCPS, DNAJB12, DTX1, EED, ELAC2, EWSR1, EXT2, NAA60, FST, HDAC7, HEATR6, MFSD14A, HPS5, HS.4988, IL21R, POGLUT3, METTL13, LIN7C, LMAN2L, LMNB2, LOC643452, LOC653171, LRRC41, LRRC58, MAP2K5, TLNRD1, MRPL35, MRTO4, MTRF1, NASP, P2RY11, PAK1IP1, PLAG1, PLCL2, PWWP2A, RACGAP1, SARS2, SLC5A6, SRGAP2, STRBP, SYAP1, TBC1D13, MACO1, TMEM97, TNFRSF13C, TRAP1, UBA5, VPS33A, ZFP3, ZNF331, ZWILCH"
"M16.32" "A26" "TBD" "ACTB, APIP, ARPC2, ASF1A, ATG4A, BCL7B, AKIP1, ABITRAM, CCDC28B, CDCA8, CENPA, COX7C, DAZAP2, ECI1, SYNM, ETNK1, EZH2, FABP5, RTL8A, SKA2, GTF3A, HELLS, HJURP, HS.372654, HS.535392, IKZF5, KLHDC2, KPNA4, LDHA, LOC387934, LOC648868, LRRC57, MEIS3P1, C8orf82, CLEC18C, NUP37, OTUD1, PSMB10, NELFE, RPS6KB2, RTN4, SC5D, SLC25A11, SLC30A1, SLC35A5, SLC39A8, SNAPIN, SPSB2, TADA1, TBCA, ELOB, TIMM17B, TMEM33, TMEM9B, UBE2E3, UBE2T, VKORC1L1, ZDHHC13, ZMPSTE24"
"M16.33" "A15" "TBD" "ANKRD36, ASL, PAXBP1, DHX57, DNMT3A, AGO3, ETV3, FAM91A2, FLJ11292, ADGRA3, HEATR3, HIP1R, HM13, HS.131041, HS.191464, HS.201113, HS.225887, HS.357539, HS.384605, HS.445274, HS.464414, HS.539623, HS.544679, HS.550111, HS.551340, HS.561190, HS.62645, HTRA4, KIF27, LOC388397, PLEKHM1P1, LOC641705, LOC642109, LOC642393, LOC643831, LOC644144, LOC644297, LOC647606, LOC649639, LOC653197, LOC653352, LOC653468, LOC653800, LOC653980, LOC727948, LOC729008, LRRC37A, MAX, MRFAP1L1, PLGLA, PMS2CL, PMS2P2, POGZ, PRDM1, RNF19A, UCP3, ZNF326, ZNF563, ZNF565"
"M16.34" "A36" "Gene transcription" "ABCC13, AKAP9, AKT1S1, ANK1, ANKRD9, BPGM, LRRC75A, SAXO5, ILRUN, CTSE, DENND1A, DIP2A, DYRK3, FAM13A, FLCN, SPMIP2, GJC2, GNA12, GYPA, HBE1, HIST3H2BB, HS.107801, HS.390407, HS.568705, KANK2, MAP3K21, LIMS1, LOC388931, LOC400174, LOC401002, PLEKHM1P1, LOC641972, MAOA, SLC25A51, C2orf88, NATD1, MSI2, MYL4, PAGE2, PIP5K1B, RHCE, RN7SK, SEC14L4, SGO1, SLC14A1, SLC6A10P, SNX15, SOX6, ST6GALNAC4, SUZ12P1, SYF2, TGM2, TP53BP2, TRIM10, TSPAN7, USP12"
"M16.35" "A15" "TBD" "ADAM17, AFMID, AMFR, ANKRD36, ATP2B4, BANP, TMEM259, COG5, CSNK1A1, CSNK1G2, CTDSP1, DNA2, EDNRB, GABBR1, GRIPAP1, GSDMA, HS.207604, HS.28170, HS.516420, HS.570636, HS.575085, HS.581234, RIMBP3, KRT9, LOC441763, LOC644739, LOC646508, LYZ, MACF1, MED15, MEF2A, KMT2C, MTMR2, NBPF1, NBPF20, NOL10, PPID, PSMA1, DSTYK, RNF13, SLC23A1, SLC2A11, SLC6A13, SLC9A4, SMPD1, SNORD33, SNX6, TAF1, TEAD2, TES, LDAF1, TMEM184C, TMLHE, USF1, ZDHHC13"
"M16.36" "A5" "Gene transcription" "ADH5, AK5, ALDH6A1, ARSK, B4GAT1, BCKDHB, C2ORF15, CAMSAP2, CD302, CHEK2, CNN3, RRP7BP, DNAJC10, DPYSL4, DYNC2LI1, EBAG9, ELL3, FBLN7, FKBP3, GLT8D1, HS.449276, HS.511717, HSF5, KANK1, ELAPOR2, LIMS2, LIN7B, MZT1, UBA6-DT, LOC730273, LRRC56, MMP28, NOG, NRCAM, OGG1, OPA3, PPHLN1, PRKDC, PTPRK, RAB30, RMND1, RTN4, SNORD32A, SNORD36C, SNX25, SSPN, TAF4B, TMEM107, XRN2, ZFP14, ZNF184, ZNF485, ZNF551, ZNF566"
"M16.37" "A33" "TBD" "ABCA2, APAF1, BAG4, BCAT1, FAM177A1, CNEP1R1, PEAK3, TMEM217, CCDC17, CD177, COL7A1, CTRC, CYFIP1, DAAM2, GPER1, GRB10, H2AC21, HOOK3, HS.137078, HS.30972, HS.31961, HS.374832, HS.402146, HS.537779, HS.549784, HS.559604, HS.579631, HYAL2, IER5L, IFNA10, CARD17P, KCMF1, LOC647121, MPP7, MXRA7, PAQR6, PDLIM7, PFKFB2, PGM5, PVR, SEC61A2, SERPINA1, SLC25A29, ST14, ST6GALNAC3, TCF7L2, THRAP3, TRAF7"
"M16.38" "A15" "TBD" "ADAM28, ANKAR, ANKFY1, BDP1, C8ORF44, CLN8, EDN1, EIF5, FAM118A, FLJ37396, GGT7, GOSR2, HBS1L, HS.202475, HS.259679, HS.282467, HS.28705, HS.374420, HS.377257, HS.427242, HS.518414, HS.555947, HS.560896, HS.561915, LAT1-3TM, NPIPB7, LOC441066, LOC642393, LOC642701, LOC643985, LOC644670, LOC646100, LOC647135, LOC653471, LOC653853, LOC91664, MIR503HG, MYH3, ACCS, POLR2J4, PPARGC1B, RALGPS2, RUNDC2A, SFMBT2, SIRT5, SLC5A3, SNORD38A, SUZ12P1, TAF15, TRMU, TTN, ZNF432"
"M16.39" "A8" "TBD" "ANKLE1, ARFRP1, BOLA2, BTNL2, CALB2, CCDC51, CELSR1, RRP7A, DEFB119, DLGAP2, DOK2, DPP7, DUSP26, FIZ1, CPTP, HEXIM2, HS.495041, HS.511718, KBTBD4, KCTD15, LOC284194, LOC389816, LOC641788, LOC645442, LOC649169, LOC649571, LRRC26, MATK, MEI1, MGC72080, NCAPH2, PDGFRA, PHYH, POMC, PPP2R2D, PRPF6, CYTH2, PSMD9, PYGO2, RNF126P1, SERPINF1, SGTA, SLC3A2, SIK1, SPRYD4, ZNRD2, STAG3, TMEM191B, EMC6, ZDHHC1, ZNF512B, ZXDB"
"M16.4" "A6" "TBD" "ACTR8, AGMAT, ALG11, AMMECR1, ARMCX3, ASPSCR1, ATAD2, BBS7, BRI3BP, TCTN3, SPRING1, UBR7, INTS14, METTL18, C21ORF59, C5ORF24, ADTRP, ZC2HC1A, CASK, CCNYL1, CENPL, CEP68, CHN2, CLUAP1, DIABLO, DNAJC19, DNAJC21, DOCK9, EARS2, ERCC1, FAIM, FAM3C, FANCL, FASTKD2, FASTKD3, FBXO22, FBXO32, FUBP1, GPAM, GPR180, GRAMD2B, GTF2H3, GTPBP8, HNRNPF, HS.284464, HS.352549, HS.443490, HS.527071, HS.534439, HS.561603, HS.88156, HSGT1, HSPA4, IL12RB1, IMMP2L, IVD, LOC153364, LOC642178, LOC644096, LOC644869, LOC647009, LOC650845, LOC652324, LOC652615, LOC653234, LOC653383, LOC731999, LOC90624, LRP8, LRRC20, MCPH1, MTFR1, NAA16, NME6, NOTCH2NLA, NR1D2, NSUN5P2, NUP35, OSGEPL1, PCBD1, PCGF6, PDCL, PEX7, PIBF1, PTCD2, RAB23, RAD51C, RBM3, RBM41, RFC1, RNF8, RPL23AP7, RPL32, RYK, SBDSP1, SDHAP1, SERPINB9, GEMIN2, SLC10A7, SLC4A7, SLFN12, GUSBP15, SNAPC5, SOCS2, STAG3L1, SYNJ2, TAF1A, TBCE, TDRD3, THNSL1, TIAM1, TIGD2, PEDS1-UBE2V1, TNFRSF25, TRIM24, TUBE1, TXNDC15, USP37, DCAF1, WDR43, XYLT1, YAF2, YTHDC2, ZGPAT, ZHX1, ZNF136, ZNF235, ZNF236, ZNF426, ZNF669"
"M16.40" "A7" "Monocytes" "ACTN1, AKR1D1, ALOX5AP, STRADB, ARHGEF3, ATP5F1B, COA8, GUCD1, CAPNS1, CCL5, CD14, CD37, CD68, CMTM2, EEF1D, EIF3K, FGL2, FOXO3, GAPDH, GIMAP7, GRINA, HCG4, IGLL1, ISCU, LDHB, LOC388588, LOC389599, LOC400721, LOC442454, LOC647856, LOC648210, LOC648249, LOC652616, LST1, NCF1, NDUFA3, NINJ1, OPTN, PIP4K2A, PLEK, POFUT1, PRDM1, RBX1, RPL10A, SRSF6, SLA, SORL1, TMEM154, TNIP1, UCP2, DCAF12"
"M16.41" "A2" "TBD" "ALDOC, ATP2A2, C11ORF24, PAGR1, COA1, UTP23, SGF29, CHD1L, CIRBP, CLCN6, CNOT2, DVL2, RACK1, HMGB1P1, IFI6, LCMT1, LEMD2, LOC143543, PTRHD1, LOC440927, LOC643284, LOC645317, LOC647000, LOC653314, LRRC8D, NUTF2, OTUB1, OXA1L, PEX5, POMT1, PQBP1, RER1, RNF126, RNF41, RPL37A, RPS16, RPS27, SEC11C, SNRPB2, TBL2, TCEAL8, TIMM8B, TMEM185A, TUBB, TYW1, UBE2Z, YAF2, ZNRD1"
"M16.42" "A3" "TBD" "AASDHPPT, ABHD6, ACSL5, AHCYL2, ANKRD20A1, BCCIP, BCS1L, BRD1, TSPOAP1, TEPSIN, WDCP, ERCC6L2, VPS50, CHD6, CREBZF, CRYGS, CTDSPL2, DGCR8, DIABLO, FBXO21, GNRH1, GSS, HS.158923, HS.231861, HS.254006, HS.37648, HS.403972, HS.47995, HS.522924, ILVBL, ITGA6, KCTD6, LIAS, LINS1, LOC284023, LOC642035, LOC730358, LONP2, NDUFS1, PID1, PRPF4B, PTPN22, RAD9A, REC8, TAF1C, TAF5, YDJC, ZNF101, ZNF526, ZNF654"
"M16.43" "A4" "Gene transcription" "AP1S1, ATN1, ATRN, C11ORF60, LDLRAD4, RHEX, MTCL2, CA11, CD22, CIDECP1, CLDN9, DGCR6, DPP3, DYRK1B, ENG, F11R, FDX1, FOLR2, MOGS, GSTM1, GSTM4, ITPKC, JMJD4, JOSD2, LGMN, LOC440313, LOC440895, LOC642250, LOC644852, LOC729486, MRPL2, ICE2, PLBD2, PRR7, PTPN23, PTPN9, RIN1, RNF135, RPL36A, RPS6KA2, RPS6KA3, S100A2, SEMA4G, SPNS3, SPPL2B, SYVN1, TSPAN4, ZNF517"
"M16.44" "A33" "Protein synthesis" "ABHD5, ACTN4, ACTR10, IRF2BPL, C1ORF43, CAPZA1, CD302, CHST13, CHURC1, CISD1, CKAP4, CLEC7A, CLIP1, CSAD, CYBRD1, DAPP1, DUSP3, EIF4E3, ERGIC1, HYCC2, FKBP1A, H2BC5, HS.333764, HS.520591, KBTBD11, KPNA6, LOC643313, LOC651738, MANSC1, MAPK3, MAX, MYO5A, NFIL3, PGLYRP1, PSTPIP2, PTAFR, PTPRC, RBMS1, RBP7, SAMSN1, SEMA4A, SMG7, SPPL2A, SULF2, TCN1, TGFA, TREM1, USP32"
"M16.45" "A3" "TBD" "AARS2, ACTR5, ANKRD36B, ERMARD, YJU2B, CHKB, DKFZP586I1420, EXOSC10, HNRPR, HS.154336, HS.193784, HS.520349, HS.561735, HS.561844, ILF3, KNTC1, KRIT1, MARCHF3, METTL17, MRI1, KMT2A, MLLT10, NSD1, NSUN5, NVL, PEX1, PML, PPP1R3E, PRICKLE1, ARHGAP32, RORA, SPTBN1, STIM2, TAGAP, TCERG1, TCF4, TEX10, TFB1M, TSPAN32, TUBGCP6, VAV1, VEZT, VPS13A, ZBTB40, ZCCHC8, ZMYND8, ZNF26"
"M16.46" "A26" "TBD" "ALPPL2, ARMC6, ATG12, ANAPC15, TIGAR, TEDC1, GET4, CCDC32, CCDC43, CEPT1, CNGB1, CTRL, DHX35, DHX8, DNAJC17, VOPP1, EEF1B2, FAM98C, FDPS, FIP1L1, GTF3C2, HS.192784, JMJD6, KIAA0586, LAMC1, LOC130074, LOC643035, LOC644310, LRCH3, LZIC, MED26, NR1H3, NUCKS1, PRAMEF5, PSAT1, PSMD13, PTPRA, PTTG2, RHBDF2, RPS29, RRBP1, SEC24B, SNRPD3, TM9SF1, TOM1L2, TRIM5, TSC2, ZNF576"
"M16.47" "A18" "TNF" "B3GAT1, XIAP, CCDC186, MPIG6B, DNAI7, CCDC147, DDX19-DDX19L, FAM20C, FAS, FLJ45256, FSTL4, FUZ, HS.131188, HS.156574, HS.282397, HS.390542, HS.542805, HS.552203, HS.565250, HS.574008, HS.574968, IL3RA, KCNQ3, LAMA3, LOC286310, LOC727848, MOB1A, OR2A5, OSBPL1A, PHKA1, POLR2J3, PPIF, PRAF2, PRR13, RAB13, ROM1, RPPH1, SCRIB, SLC28A1, SLC7A9, STAR, SULT1A2, THRA, TMEM207, TRAIP, DCAF4L1, XKR3"
"M16.48" "A21" "TBD" "ACTRT1, BAIAP2, BEND7, WDFY4, C22ORF23, CASP3, CCNT2, DIXDC1, DMD, EPHA10, NALF2, GNAT1, HCN4, HS.540289, HS.548045, HS.575473, KLF15, LBH, LILRB2, LOC391475, LOC401056, LOC442711, LOC554223, LOC641860, LOC642399, LOC643665, LOC646562, LOC647741, LOC649044, LOC651680, LOC654187, LOC728229, MAPK4, MAZ, MDGA1, NOC4L, OPRM1, OR2W5, RAMP2, RPS6KL1, RSPO2, RXRG, SLC2A11, TGFB3, USP41P, VAX2, ZNF682"
"M16.49" "A25" "Inflammation" "AMY1B, AMY2B, BTN2A1, C9ORF72, CCNYL1, CCR2, CLEC12A, CTBP2, ABHD17B, FBXO3, TRAPPC13, SRSF10, GALC, GCC2, GPR89A, IP6K2, CXCL8, ING4, INTS4, LAIR1, LOC644584, LOC648189, LOC650155, LOC653663, LOC730995, MDM4, MRPL30, NEDD1, P2RY14, PHC3, PIAS2, MOB4, PRIM2, PRKACB, RECQL, RWDD3, SCAMP1, SF3B1, SLC39A6, ST8SIA4, TCEA1, TRIM23, UTS2, ZMYM5, ZNF654"
"M16.5" "A32" "TBD" "ABAT, ADAM10, ADHFE1, AGER, AGGF1, AGPAT2, ARHGAP18, ARRDC4, ATG4D, B3GNT5, BCAP29, BCL10, BOK, BRWD3, BZW1, PROSER2, EAPP, C19ORF33, CAMKMT, M1AP, C6ORF89, CAND2, CAPN7, CCDC124, CCDC22, CCDC25, CCDC88A, CD151, CLDN18, CLEC1A, CMTM1, COMMD8, CSNK2A3, CXCR6, BEND2, CYP51A1, DCLRE1A, DENND1A, DNAJC3, ECSIT, EIF4E, EPB41, FAM13A, DIPK1B, FGFR1OP, GFI1B, GLT1D1, H3C14, HMBS, HOXD13, HS.524705, HS.543470, HS.566280, IFRD2, KCNH3, KISS1R, LOC402057, LOC645937, LOC648659, LOC649260, LOC649801, LOC650263, LOC652634, LOC729905, MAP3K7, MAP4K5, MARCHF3, MARCHF5, METRNL, METTL9, MFHAS1, MGC40489, MPDU1, MS4A4A, MTMR3, NAPA, NDUFV3, NFIA, NHS, NMNAT3, OXER1, P2RY12, PIK3R5, PKM, PLEKHN1, PPIB, PRDM10, PRR5, CYTIP, PSEN1, RANBP9, RFX2, RMND5A, RNF175, RTN2, SLC22A16, SLC24A3, SLCO4C1, SPAG1, SPTY2D1, ITPRID2, ST7, HSPA13, STX5, SUMO1, TAC3, TAPBP, TCIRG1, TIPRL, TMEM164, TNFSF13, TNNC2, TOMM40L, TP53I3, TPM4, TRPM2, TSNAX, VPS13B, WDR81, YIPF5, ZMIZ2, ZNF136, ZNF32"
"M16.50" "A4" "Protein modification" "BEGAIN, VPS35L, C1ORF216, SMIM8, CACNA2D2, CAMK2N1, AGAP1, CLEC11A, COLQ, MED17, ACKR3, DNHD1, DNAH12, DUSP8, EPB41L2, FAM118B, FGFRL1, HEMK1, HRK, HS.508682, HS.559008, LARGE1, LOC641518, LOC643624, LOC652541, MMAB, MVD, NOTCH2NLA, NPHP4, PDGFD, PDZD4, PFDN6, PMEPA1, PTPRM, ROBO3, SASH1, SERAC1, SERINC5, SIGLEC17P, SLC25A45, SOX13, STAG3L4, TLE2, TRIM3, TYSND1"
"M16.51" "A33" "Protein synthesis" "ABHD2, ADM2, KIAA0930, TOR4A, CAPG, DDAH2, SLX1A, GRAMD1A, H1-2, H2BC12, HLA-C, HMGN2, AGFG1, HS.311855, HS.473255, WAPL, LOC641798, LOC644162, LOC645609, LOC653888, LYPLA2, MAGEL2, MAPKAPK2, MFAP3, MLX, MOB3A, MPST, MRPL28, NRBP1, PHF23, PRDX6, PSENEN, PURG, PXK, SEC24C, SHMT1, SLC43A3, SP1, SULT1A3, THBS3, TMED1, TRIM29, TUBA1A"
"M16.52" "A20" "Lymphocyte" "EPHX4, ADPRH, AOC3, B4GALT2, BCR, ERG28, C14ORF119, CD300LG, CHD3, CREB3, AGAP7P, DEDD, EFNA4, FAM53B, FBXO42, FLJ46836, GOLGA7, HILPDA, KAT5, HTR6, IGF2BP1, LHFPL1, LOC442582, LSR, MDFI, NEDD9, PAIP2, PES1, PLK3, QSER1, RNF122, RNF38, RRAGB, SEPTIN12, SPA17, SPIN2B, TAGLN, TRIM62, TRPS1, TXN2, UXS1, ZBTB6, ZNF766"
"M16.53" "A8" "TBD" "ACOT1, AHDC1, FUOM, CDK5R1, CPNE5, FAM86C1P, FLJ33590, SLX1A, SLX1B, MAVS, LOC648581, LOC650020, LOC652734, LOC653204, LOC728452, LOC729196, LYPLA2P1, MGAT4B, NBL1, NPDC1, PCK2, PLEKHG1, POMZP3, PPP2R5D, PRCC, PRKCSH, SLC50A1, RFNG, SH2D2A, SSBP4, TAF6, TARS2, TBC1D17, TMC8, ANO8, PEDS1-UBE2V1, TOR2A, TP53, TTC7A, TUBG1, UNC119, ZNF493"
"M16.54" "A6" "TBD" "ACSL4, AGPS, ATL3, ATRN, BBS1, BPHL, BTG3, INTS13, SMG8, C1ORF122, C2ORF49, CBX5, TMEM187, DNAJB14, FANCG, FASTKD3, FBXO5, HABP4, DNAAF5, HLA-H, HS.283402, LOC654189, MSH3, MTFMT, NMD3, NUAK2, POLR3A, RECQL5, RER1, RFC4, RIF1, THAP6, TMEM39A, TRAF6, TXNDC11, ZC3H10, ZDHHC16, ZNF182, ZNF384, ZNF614"
"M16.55" "A15" "TBD" "PHYKPL, ANKRD17, ANP32CP, ATP10D, BAGE2, CUGBP1, DTNBP1, EXOSC1, FLJ30092, FLJ34047, HS.432352, HS.445239, HS.473548, HS.544017, HS.560946, HS.561307, HS.562039, HSN2, ING5, WDR97, LOC642267, LOC643423, LOC644043, LOC644474, LOC651881, LOC728895, LOC729602, MAGED4B, IRAG1, NBPF1, NDUFS2, OR2AG1, OR3A4, RAPGEF1, SCAND2, SON, SPAG9, TMEM176B, WIPF2, ZNF384"
"M16.56" "A1" "Protein synthesis" "ADRB2, AHSA1, ATP5MC2, BCL9, BORCS7, CDK2AP2, CHCHD3, CIB1, MED7, ECD, EEF1A1, HSPA8, LOC400455, LOC402251, LOC440589, LOC642755, LOC645436, LOC648210, MRRF, NME3, NOP56, PEA15, PHF10, PIK3R1, RIOK1, RPL14, RPL24, RPL32, RPS6, SF3A2, SLC25A5, SNRPD2, TMEM126B, TMEM147, TMSB10, TUBG2, PYM1, ZC3H15"
"M16.57" "A5" "B cells" "C16ORF74, SLC17A9, C8ORF13, CCDC24, CLIP3, CCN2, DNASE1L3, DPPA4, FCGR2B, GEMIN5, HS.163084, HS.540401, HS.568676, HS.570308, ISOC2, KDM4C, KCNH8, LOC346887, MGC27345, MOB3B, MTA3, PDE7B, PLEKHG1, PMEPA1, RCCD1, SIRT5, SLC25A17, SNX22, SPRY1, SPRY2, TASP1, TTC21A, TUBB6, UST, VPREB1, ZDHHC23, ZHX3, ZNF202"
"M16.58" "A15" "TBD" "ACADVL, BAIAP2L2, C1ORF159, PAXBP1, CCDC137, AGAP4, DGKA, HS.123474, HS.130980, HS.336643, HS.501656, LOC644891, LOC646723, LOC650433, LOC652458, LOC728070, LOC728127, LOC728505, MANEA, MAPKAP1, NAA30, NBR1, OR7E156P, PGM3, PHC3, PMS2L1, RCBTB1, SDK2, SLC22A5, SNORA62, SNORA64, TMEM168, TMPO, USP4, ZNF274, ZNF345, ZNF589, ZNF655, ZNF658B"
"M16.59" "A6" "TBD" "ABCG1, ARHGAP12, ATL2, BCAP29, BEND4, CCNL1, DUSP11, DUSP2, ELA1, ENOX2, SRSF10, HEATR3, PLAAT3, HS.570189, METTL23, GSAP, LOC644934, LOC650646, LOC651816, LOC727761, MAPK7, MYL5, NAALADL1, NIPSNAP1, GATD1, RAB28, RAD51C, RANBP6, RBM18, RPS26L, RPS26P11, RPUSD1, RRN3, SPRED1, UBE2D4, USP47, WDR91, ZNF609"
"M16.6" "A8" "Monocytes" "ACADS, ACOT8, GPAT4, ALG14, AP1S1, ASB3, ATPAF2, B4GALT4, BATF3, KNSTRN, INTS14, FAM210A, C19orf48P, FIRRM, FAM163A, C5ORF22, C7ORF29, RPP25L, CCL3, CCL3L1, CD40, CDCA7, HDHD5, NELFB, DDHD2, DDX12P, DDX19B, ELMO1, ELMO2, EPM2A, ETNK1, MYOF, FYTTD1, G3BP1, GCDH, GCH1, GLE1, GSK3A, GSTZ1, GTSF1, GUF1, HNRNPA1, PLAAT2, HS.173957, HS.353387, HS.495112, HS.547738, HS.548415, HS.570229, INSIG1, INTS7, JSRP1, LENG1, LGALS3BP, LOC201164, LOC388122, LOC441050, LOC541471, LOC649214, LOC650557, LOC653066, LOC654346, LOC730051, MAGEF1, MAPKAP1, MCRS1, MED11, MGC40489, MGC4172, MRPL4, MST1L, MT1G, NAF1, NFKBIB, NHLRC2, NUBP2, OVOS2, PAK4, PARP3, PLEKHG4, POLDIP3, POLR2K, PRMT7, PRRT3, PSMD3, QTRT2, RBKS, RBL1, RIOK1, RPL39L, RSU1, SCD5, SLC25A24, SLC25A26, SLC27A5, SLC35F2, SLC3A2, SNURF, SNX5, SPATS2, SPG21, SQLE, SSR3, STARD5, TAF1A, TCP11L1, DYNLT2B, TNIP2, TOP1MT, TRUB2, UBE2J2, UBTD2, USP22, WDR25, WFS1, ZDHHC24, ZNF655, ZNF664, ZNF707"
"M16.60" "A27" "Cell cycle" "ACOT7, AIFM1, BANF1, TYMSOS, CCNB1, CCR5, CDK1, CDCA3, CENPA, CENPF, CENPM, CHI3L2, CKAP2L, MTFR2, FAM83D, FBXO4, FBXO5, GBP6, GMNN, HS.537991, KIF15, KIF23, LOC652155, LOC653820, MND1, MT1H, NUF2, ORC6, SLC27A2, SMC2, SPAG5, SPC24, SPC25, TIPIN, UCK2, POC1A"
"M16.61" "A25" "TBD" "AHR, ARFIP1, ARMC8, ARRDC3, ATE1, AZIN1, GPATCH2L, AKIRIN1, NDUFAF7, GOLM2, CASP2, CCNT2, CNOT1, COL4A3BP, DDB1, DNAJB14, WASHC2A, GCC2, LOC652388, LOC653105, MATR3, MTRR, NCOA2, NEK7, NPEPPS, PPM1B, PRDM1, PSEN1, QKI, SCP2, SNX20, TFG, TNFSF13, TWF1, YTHDC1, ZNF429"
"M16.62" "A33" "TBD" "AFF1, MPIG6B, CALD1, CAV2, CD24, CLIP1, DHRS9, DPY19L3, GP6, GPD2, GUCY1B1, H2BC7, H4C5, H2BC18, HS.133181, HS.170991, HS.561105, HS.571151, KCNE3, LOC643720, LOC729732, SLC49A3, FAM27E3, CYTOR, MLKL, MSRB3, PCSK6, RAB43, RFNG, RTN3, SUCNR1, TCN2, TSR1, VAV3, ZKSCAN1"
"M16.63" "A33" "TBD" "ADCY3, ARHGAP24, ARPC3, LRIF1, FAM209B, CD24, CDKN2B, CLCC1, COPE, CUGBP2, DHX34, DNAJB12, FBXO30, HS.541752, HS.575256, HS.580797, AVL9, KIAA0319L, LPGAT1, LRRFIP1, MGST1, PLAGL1, RAB43, RAP1A, RB1CC1, RGS18, RGS2, RNASE4, TMEM169, TMLHE, TOPORS, TRAF6, TSPAN2, UBE2D3, YWHAB"
"M16.64" "A31" "Platelet/Prostaglandin" "CA2, CD151, CDR2L, CEL, ASAP2, EGF, GAS2L1, GCOM1, GRB14, GUCY1A1, H2BC21, HOMER2, HS.421532, HS.79881, MAP1A, MFAP3L, MST150, MYL9, MYLK, NFIB, OXTR, PEAR1, PLA2G12A, PNMA1, PRTFDC1, PTCRA, RGS10, SLC8A3, TAL1, TBXA2R, TGFB1I1, TNFSF4, WASF3"
"M16.65" "A5" "TGF-beta" "ABCB9, ANKZF1, AVEN, CACTIN, MTRES1, CROCC, DEAF1, METTL21A, FBLN2, FHIT, FTSJ1, HNRNPA3, CWC22, LOC644172, LOC648405, TMSB15B, MSL2, POP1, RNF111, RNPS1, SH2D3A, SLC25A26, SLC25A42, SMAD7, SORD, SUPT3H, THEM4, TIMM8A, TMIGD2, UQCRB, VSIG1, ZC3H14, ZNF174, ZNF502"
"M16.66" "A15" "TBD" "ADAM28, ARL17A, TOP6BL, PFN1P2, C8ORF16, ARRDC1-AS1, DHX40, FCRL5, FLJ11783, FOXP1, ZNF875, HS.129160, HS.370110, HS.572649, KRI1, LOC285908, LOC389791, MC1R, N6AMT1, NPCDR1, PMS2P3, PNMA3, POGZ, SCNN1D, SEC24B, SF1, SNORD56, TNIK, UBE2D2, USP48, ZNF248, ZNF320, ZNF346, ZNF789"
"M16.67" "A33" "TBD" "ARG1, CDKN2D, CEACAM4, CSGALNACT1, CXCL1, CXCL6, ACKR1, ECHDC3, GADD45G, GPR84, HLA-A29.1, HLA-DRB4, HS.544831, INSM1, ITGAX, KIR2DL1, LOC152195, LOC641996, LOC642788, LOC648998, LOC731682, MEGF9, NSUN7, ORM1, PLSCR1, POLL, PPP1R3B, PPP2R3A, PSG9, SIGLEC5, THBS1, UTS2, VAPA"
"M16.68" "A2" "Protein synthesis" "ABHD14B, ABI3, APRT, SCIMP, C8ORF33, CRIP1, CRYL1, EIF2S1, ETS1, FOXP1, GGA2, GTPBP3, HLA-DMB, HLA-DRA, HS.505676, INF2, ITCH, MAGED1, MAL, TAB1, NPAT, MTPAP, POLM, ERI3, PTPRO, RBM45, RTN1, SLC35C1, SMYD2, SP140, ST3GAL5, TGIF2, UCHL5"
"M16.69" "A4" "Lipid metabolism" "CDK10, CHML, CPA5, CRAT, CTSF, FBLN2, FBXO3, GSTO2, HPCAL4, IRF2BP1, KCNG1, LIPC, LOC649009, LOC649679, LOC651380, LCLAT1, MPND, PHLPP1, SIT1, SLC22A17, SMPD1, SOS1, SYNE2, ANO7, PEDS1, TRIM65, TSPYL2, TUBB4Q, ULK3, ZDHHC11, ZNF135, ZNF57"
